,experiment,episode,reward,step,epsilon
0,ddqn,0,248.0,31,0.7323033696543974
1,ddqn,1,1306.0,263,0.07113055202541574
2,ddqn,2,234.0,304,0.04710848717170975
3,ddqn,3,231.0,344,0.03151424750681587
4,ddqn,4,717.0,572,0.01
5,ddqn,5,231.0,611,0.01
6,ddqn,6,231.0,651,0.01
7,ddqn,7,619.0,787,0.01
8,ddqn,8,730.0,1027,0.01
9,ddqn,9,249.0,1057,0.01
10,ddqn,10,627.0,1259,0.01
11,ddqn,11,250.0,1290,0.01
12,ddqn,12,249.0,1320,0.01
13,ddqn,13,248.0,1351,0.01
14,ddqn,14,249.0,1381,0.01
15,ddqn,15,249.0,1411,0.01
16,ddqn,16,250.0,1442,0.01
17,ddqn,17,249.0,1472,0.01
18,ddqn,18,250.0,1502,0.01
19,ddqn,19,250.0,1533,0.01
20,ddqn,20,250.0,1564,0.01
21,ddqn,21,250.0,1595,0.01
22,ddqn,22,244.0,1630,0.01
23,ddqn,23,249.0,1660,0.01
24,ddqn,24,602.0,1774,0.01
25,ddqn,25,615.0,1959,0.01
26,ddqn,26,252.0,1990,0.01
27,ddqn,27,247.0,2020,0.01
28,ddqn,28,627.0,2160,0.01
29,ddqn,29,249.0,2190,0.01
30,ddqn,30,250.0,2221,0.01
31,ddqn,31,247.0,2252,0.01
32,ddqn,32,250.0,2283,0.01
33,ddqn,33,606.0,2505,0.01
34,ddqn,34,247.0,2537,0.01
35,ddqn,35,232.0,2576,0.01
36,ddqn,36,599.0,2714,0.01
37,ddqn,37,607.0,2866,0.01
38,ddqn,38,247.0,2898,0.01
39,ddqn,39,1334.0,3102,0.01
40,ddqn,40,625.0,3249,0.01
41,ddqn,41,601.0,3344,0.01
42,ddqn,42,251.0,3378,0.01
43,ddqn,43,245.0,3414,0.01
44,ddqn,44,245.0,3450,0.01
45,ddqn,45,774.0,3647,0.01
46,ddqn,46,1033.0,3845,0.01
47,ddqn,47,769.0,4218,0.01
48,ddqn,48,608.0,4309,0.01
49,ddqn,49,607.0,4402,0.01
50,ddqn,50,610.0,4530,0.01
51,ddqn,51,618.0,4649,0.01
52,ddqn,52,244.0,4683,0.01
53,ddqn,53,812.0,4841,0.01
54,ddqn,54,762.0,5248,0.01
55,ddqn,55,239.0,5286,0.01
56,ddqn,56,797.0,5517,0.01
57,ddqn,57,218.0,5561,0.01
58,ddqn,58,797.0,5792,0.01
59,ddqn,59,1434.0,5947,0.01
60,ddqn,60,639.0,6089,0.01
61,ddqn,61,240.0,6124,0.01
62,ddqn,62,620.0,6206,0.01
63,ddqn,63,580.0,6557,0.01
64,ddqn,64,1893.0,6844,0.01
65,ddqn,65,599.0,7041,0.01
66,ddqn,66,626.0,7197,0.01
67,ddqn,67,801.0,7407,0.01
68,ddqn,68,1028.0,7633,0.01
69,ddqn,69,784.0,7933,0.01
70,ddqn,70,614.0,8013,0.01
71,ddqn,71,1035.0,8202,0.01
72,ddqn,72,629.0,8304,0.01
73,ddqn,73,749.0,8541,0.01
74,ddqn,74,625.0,8641,0.01
75,ddqn,75,697.0,8969,0.01
76,ddqn,76,252.0,8996,0.01
77,ddqn,77,1036.0,9177,0.01
78,ddqn,78,252.0,9204,0.01
79,ddqn,79,557.0,9511,0.01
80,ddqn,80,1327.0,9756,0.01
81,ddqn,81,252.0,9783,0.01
82,ddqn,82,609.0,9863,0.01
83,ddqn,83,1328.0,10089,0.01
84,ddqn,84,1122.0,10422,0.01
85,ddqn,85,613.0,10489,0.01
86,ddqn,86,1038.0,10653,0.01
87,ddqn,87,1007.0,10960,0.01
88,ddqn,88,610.0,11017,0.01
89,ddqn,89,1039.0,11182,0.01
90,ddqn,90,601.0,11383,0.01
91,ddqn,91,632.0,11560,0.01
92,ddqn,92,1062.0,11724,0.01
93,ddqn,93,1038.0,11881,0.01
94,ddqn,94,610.0,11941,0.01
95,ddqn,95,607.0,12017,0.01
96,ddqn,96,639.0,12158,0.01
97,ddqn,97,632.0,12270,0.01
98,ddqn,98,1341.0,12462,0.01
99,ddqn,99,1050.0,12581,0.01
100,ddqn,100,1025.0,12817,0.01
101,ddqn,101,623.0,12902,0.01
102,ddqn,102,698.0,13162,0.01
103,ddqn,103,638.0,13309,0.01
104,ddqn,104,776.0,13449,0.01
105,ddqn,105,611.0,13527,0.01
106,ddqn,106,1046.0,13649,0.01
107,ddqn,107,252.0,13678,0.01
108,ddqn,108,241.0,13710,0.01
109,ddqn,109,1040.0,13875,0.01
110,ddqn,110,1037.0,14042,0.01
111,ddqn,111,635.0,14112,0.01
112,ddqn,112,806.0,14299,0.01
113,ddqn,113,614.0,14369,0.01
114,ddqn,114,622.0,14444,0.01
115,ddqn,115,634.0,14530,0.01
116,ddqn,116,592.0,14693,0.01
117,ddqn,117,631.0,14780,0.01
118,ddqn,118,614.0,14860,0.01
119,ddqn,119,1002.0,15218,0.01
120,ddqn,120,616.0,15308,0.01
121,ddqn,121,1041.0,15464,0.01
122,ddqn,122,607.0,15541,0.01
123,ddqn,123,635.0,15621,0.01
124,ddqn,124,248.0,15650,0.01
125,ddqn,125,612.0,15737,0.01
126,ddqn,126,1286.0,16137,0.01
127,ddqn,127,814.0,16285,0.01
128,ddqn,128,639.0,16429,0.01
129,ddqn,129,815.0,16571,0.01
130,ddqn,130,612.0,16639,0.01
131,ddqn,131,711.0,16989,0.01
132,ddqn,132,1045.0,17133,0.01
133,ddqn,133,1050.0,17243,0.01
134,ddqn,134,248.0,17272,0.01
135,ddqn,135,1042.0,17423,0.01
136,ddqn,136,248.0,17452,0.01
137,ddqn,137,638.0,17532,0.01
138,ddqn,138,248.0,17561,0.01
139,ddqn,139,1041.0,17723,0.01
140,ddqn,140,248.0,17752,0.01
141,ddqn,141,781.0,18066,0.01
142,ddqn,142,651.0,18151,0.01
143,ddqn,143,1050.0,18270,0.01
144,ddqn,144,247.0,18300,0.01
145,ddqn,145,1033.0,18501,0.01
146,ddqn,146,1020.0,18756,0.01
147,ddqn,147,625.0,18880,0.01
148,ddqn,148,613.0,18942,0.01
149,ddqn,149,635.0,19032,0.01
150,ddqn,150,637.0,19112,0.01
151,ddqn,151,616.0,19199,0.01
152,ddqn,152,612.0,19284,0.01
153,ddqn,153,634.0,19368,0.01
154,ddqn,154,626.0,19454,0.01
155,ddqn,155,634.0,19537,0.01
156,ddqn,156,739.0,19656,0.01
