,experiment,episode,reward,step,epsilon
0,noisy,0,225.0,76,0
1,noisy,1,196.0,129,0
2,noisy,2,232.0,169,0
3,noisy,3,1015.0,450,0
4,noisy,4,1295.0,814,0
5,noisy,5,209.0,903,0
6,noisy,6,233.0,944,0
7,noisy,7,1013.0,1291,0
8,noisy,8,585.0,1476,0
9,noisy,9,228.0,1521,0
10,noisy,10,229.0,1563,0
11,noisy,11,804.0,1761,0
12,noisy,12,1040.0,1966,0
13,noisy,13,214.0,2016,0
14,noisy,14,598.0,2169,0
15,noisy,15,226.0,2212,0
16,noisy,16,613.0,2317,0
17,noisy,17,1005.0,2693,0
18,noisy,18,227.0,2735,0
19,noisy,19,231.0,2775,0
20,noisy,20,1014.0,3116,0
21,noisy,21,231.0,3156,0
22,noisy,22,230.0,3196,0
23,noisy,23,624.0,3321,0
24,noisy,24,229.0,3361,0
25,noisy,25,231.0,3402,0
26,noisy,26,610.0,3512,0
27,noisy,27,233.0,3553,0
28,noisy,28,628.0,3652,0
29,noisy,29,231.0,3692,0
30,noisy,30,624.0,3793,0
31,noisy,31,610.0,3902,0
32,noisy,32,231.0,3942,0
33,noisy,33,742.0,4196,0
34,noisy,34,718.0,4371,0
35,noisy,35,1112.0,4658,0
36,noisy,36,231.0,4698,0
37,noisy,37,231.0,4738,0
38,noisy,38,231.0,4778,0
39,noisy,39,729.0,4970,0
40,noisy,40,231.0,5010,0
41,noisy,41,2217.0,5981,0
42,noisy,42,236.0,6012,0
43,noisy,43,234.0,6045,0
44,noisy,44,238.0,6077,0
45,noisy,45,252.0,6104,0
46,noisy,46,252.0,6131,0
47,noisy,47,252.0,6158,0
48,noisy,48,252.0,6185,0
49,noisy,49,252.0,6212,0
50,noisy,50,252.0,6239,0
51,noisy,51,252.0,6266,0
52,noisy,52,252.0,6293,0
53,noisy,53,252.0,6320,0
54,noisy,54,252.0,6347,0
55,noisy,55,252.0,6374,0
56,noisy,56,252.0,6401,0
57,noisy,57,252.0,6428,0
58,noisy,58,252.0,6455,0
59,noisy,59,252.0,6482,0
60,noisy,60,252.0,6509,0
61,noisy,61,252.0,6536,0
62,noisy,62,252.0,6563,0
63,noisy,63,252.0,6590,0
64,noisy,64,252.0,6617,0
65,noisy,65,252.0,6644,0
66,noisy,66,252.0,6671,0
67,noisy,67,252.0,6698,0
68,noisy,68,252.0,6725,0
69,noisy,69,252.0,6752,0
70,noisy,70,252.0,6779,0
71,noisy,71,252.0,6806,0
72,noisy,72,252.0,6833,0
73,noisy,73,252.0,6860,0
74,noisy,74,252.0,6887,0
75,noisy,75,252.0,6914,0
76,noisy,76,252.0,6941,0
77,noisy,77,252.0,6968,0
78,noisy,78,252.0,6995,0
79,noisy,79,252.0,7022,0
80,noisy,80,252.0,7049,0
81,noisy,81,252.0,7076,0
82,noisy,82,252.0,7103,0
83,noisy,83,252.0,7130,0
84,noisy,84,252.0,7157,0
85,noisy,85,252.0,7184,0
86,noisy,86,252.0,7211,0
87,noisy,87,252.0,7238,0
88,noisy,88,252.0,7265,0
89,noisy,89,252.0,7292,0
90,noisy,90,252.0,7319,0
91,noisy,91,252.0,7346,0
92,noisy,92,252.0,7373,0
93,noisy,93,252.0,7400,0
94,noisy,94,252.0,7427,0
95,noisy,95,252.0,7454,0
96,noisy,96,252.0,7481,0
97,noisy,97,252.0,7508,0
98,noisy,98,252.0,7535,0
99,noisy,99,252.0,7562,0
100,noisy,100,252.0,7589,0
101,noisy,101,252.0,7616,0
102,noisy,102,252.0,7643,0
103,noisy,103,252.0,7670,0
104,noisy,104,252.0,7697,0
105,noisy,105,252.0,7724,0
106,noisy,106,252.0,7751,0
107,noisy,107,252.0,7778,0
108,noisy,108,252.0,7805,0
109,noisy,109,252.0,7832,0
110,noisy,110,252.0,7859,0
111,noisy,111,252.0,7886,0
112,noisy,112,252.0,7913,0
113,noisy,113,252.0,7940,0
114,noisy,114,252.0,7967,0
115,noisy,115,252.0,7994,0
116,noisy,116,252.0,8021,0
117,noisy,117,252.0,8048,0
118,noisy,118,252.0,8075,0
119,noisy,119,252.0,8102,0
120,noisy,120,252.0,8129,0
121,noisy,121,252.0,8156,0
122,noisy,122,252.0,8183,0
123,noisy,123,252.0,8210,0
124,noisy,124,252.0,8237,0
125,noisy,125,252.0,8264,0
126,noisy,126,252.0,8291,0
127,noisy,127,252.0,8319,0
128,noisy,128,247.0,8347,0
129,noisy,129,252.0,8374,0
130,noisy,130,252.0,8401,0
131,noisy,131,252.0,8428,0
132,noisy,132,252.0,8455,0
133,noisy,133,252.0,8482,0
134,noisy,134,252.0,8509,0
135,noisy,135,252.0,8536,0
136,noisy,136,252.0,8563,0
137,noisy,137,250.0,8590,0
138,noisy,138,252.0,8617,0
139,noisy,139,624.0,8687,0
140,noisy,140,252.0,8714,0
141,noisy,141,252.0,8741,0
142,noisy,142,252.0,8768,0
143,noisy,143,252.0,8795,0
144,noisy,144,252.0,8822,0
145,noisy,145,252.0,8849,0
146,noisy,146,252.0,8876,0
147,noisy,147,252.0,8903,0
