,experiment,episode,reward,step,epsilon
0,prioritized,0,157.0,73,0.4801414565714212
1,prioritized,1,226.0,118,0.30545902592830454
2,prioritized,2,235.0,160,0.20027702685748935
3,prioritized,3,232.0,200,0.13397967485796175
4,prioritized,4,237.0,237,0.09237216435585804
5,prioritized,5,614.0,392,0.019453434285172513
6,prioritized,6,250.0,422,0.014389712604426485
7,prioritized,7,249.0,466,0.01
8,prioritized,8,250.0,496,0.01
9,prioritized,9,250.0,526,0.01
10,prioritized,10,239.0,559,0.01
11,prioritized,11,250.0,589,0.01
12,prioritized,12,250.0,619,0.01
13,prioritized,13,602.0,830,0.01
14,prioritized,14,250.0,860,0.01
15,prioritized,15,249.0,890,0.01
16,prioritized,16,580.0,1224,0.01
17,prioritized,17,250.0,1254,0.01
18,prioritized,18,603.0,1575,0.01
19,prioritized,19,250.0,1605,0.01
20,prioritized,20,231.0,1642,0.01
21,prioritized,21,231.0,1682,0.01
22,prioritized,22,231.0,1722,0.01
23,prioritized,23,231.0,1762,0.01
24,prioritized,24,231.0,1802,0.01
25,prioritized,25,231.0,1842,0.01
26,prioritized,26,231.0,1882,0.01
27,prioritized,27,237.0,1922,0.01
28,prioritized,28,250.0,1952,0.01
29,prioritized,29,250.0,1982,0.01
30,prioritized,30,250.0,2012,0.01
31,prioritized,31,250.0,2042,0.01
32,prioritized,32,250.0,2072,0.01
33,prioritized,33,250.0,2102,0.01
34,prioritized,34,250.0,2132,0.01
35,prioritized,35,250.0,2162,0.01
36,prioritized,36,250.0,2192,0.01
37,prioritized,37,251.0,2220,0.01
38,prioritized,38,249.0,2252,0.01
39,prioritized,39,250.0,2282,0.01
40,prioritized,40,250.0,2312,0.01
41,prioritized,41,252.0,2343,0.01
42,prioritized,42,249.0,2373,0.01
43,prioritized,43,252.0,2400,0.01
44,prioritized,44,239.0,2430,0.01
45,prioritized,45,593.0,3199,0.01
46,prioritized,46,1287.0,3615,0.01
47,prioritized,47,252.0,3642,0.01
48,prioritized,48,252.0,3669,0.01
49,prioritized,49,252.0,3696,0.01
50,prioritized,50,252.0,3723,0.01
51,prioritized,51,239.0,3753,0.01
52,prioritized,52,238.0,3783,0.01
53,prioritized,53,251.0,3810,0.01
54,prioritized,54,251.0,3837,0.01
55,prioritized,55,1024.0,4086,0.01
56,prioritized,56,214.0,4126,0.01
57,prioritized,57,248.0,4154,0.01
58,prioritized,58,250.0,4181,0.01
59,prioritized,59,240.0,4212,0.01
60,prioritized,60,252.0,4239,0.01
61,prioritized,61,252.0,4266,0.01
62,prioritized,62,251.0,4293,0.01
63,prioritized,63,629.0,4398,0.01
64,prioritized,64,637.0,4481,0.01
65,prioritized,65,249.0,4509,0.01
66,prioritized,66,252.0,4536,0.01
67,prioritized,67,1565.0,4717,0.01
68,prioritized,68,250.0,4744,0.01
69,prioritized,69,1293.0,5075,0.01
70,prioritized,70,1033.0,5265,0.01
71,prioritized,71,249.0,5293,0.01
72,prioritized,72,249.0,5320,0.01
73,prioritized,73,608.0,5435,0.01
74,prioritized,74,252.0,5462,0.01
75,prioritized,75,1028.0,5658,0.01
76,prioritized,76,796.0,5893,0.01
77,prioritized,77,706.0,6580,0.01
78,prioritized,78,956.0,7137,0.01
79,prioritized,79,1330.0,7351,0.01
80,prioritized,80,1015.0,7684,0.01
81,prioritized,81,1337.0,7874,0.01
82,prioritized,82,635.0,7948,0.01
83,prioritized,83,248.0,7976,0.01
84,prioritized,84,616.0,8119,0.01
85,prioritized,85,619.0,8192,0.01
86,prioritized,86,636.0,8280,0.01
87,prioritized,87,251.0,8307,0.01
88,prioritized,88,626.0,8383,0.01
89,prioritized,89,627.0,8587,0.01
90,prioritized,90,230.0,8621,0.01
91,prioritized,91,612.0,8692,0.01
92,prioritized,92,1344.0,8849,0.01
93,prioritized,93,1342.0,9016,0.01
94,prioritized,94,242.0,9045,0.01
95,prioritized,95,621.0,9109,0.01
96,prioritized,96,750.0,9329,0.01
97,prioritized,97,802.0,9535,0.01
98,prioritized,98,252.0,9562,0.01
99,prioritized,99,248.0,9591,0.01
100,prioritized,100,538.0,10007,0.01
101,prioritized,101,1291.0,10441,0.01
102,prioritized,102,782.0,10700,0.01
103,prioritized,103,1124.0,10967,0.01
104,prioritized,104,626.0,11090,0.01
105,prioritized,105,771.0,11454,0.01
106,prioritized,106,619.0,11536,0.01
107,prioritized,107,639.0,11678,0.01
108,prioritized,108,816.0,11813,0.01
109,prioritized,109,596.0,11965,0.01
110,prioritized,110,636.0,12118,0.01
111,prioritized,111,639.0,12262,0.01
112,prioritized,112,1033.0,12442,0.01
113,prioritized,113,252.0,12472,0.01
114,prioritized,114,618.0,12623,0.01
115,prioritized,115,249.0,12654,0.01
116,prioritized,116,632.0,12722,0.01
117,prioritized,117,249.0,12751,0.01
118,prioritized,118,626.0,12837,0.01
119,prioritized,119,248.0,12867,0.01
120,prioritized,120,1338.0,13066,0.01
121,prioritized,121,1037.0,13236,0.01
122,prioritized,122,241.0,13275,0.01
123,prioritized,123,1024.0,13560,0.01
124,prioritized,124,1336.0,13770,0.01
125,prioritized,125,248.0,13801,0.01
126,prioritized,126,1563.0,14077,0.01
127,prioritized,127,639.0,14221,0.01
128,prioritized,128,634.0,14303,0.01
129,prioritized,129,609.0,14407,0.01
130,prioritized,130,636.0,14490,0.01
131,prioritized,131,813.0,14643,0.01
132,prioritized,132,814.0,14793,0.01
133,prioritized,133,239.0,14828,0.01
134,prioritized,134,213.0,14868,0.01
135,prioritized,135,619.0,14977,0.01
136,prioritized,136,1042.0,15126,0.01
137,prioritized,137,248.0,15155,0.01
138,prioritized,138,627.0,15257,0.01
139,prioritized,139,1284.0,15735,0.01
140,prioritized,140,630.0,15817,0.01
141,prioritized,141,1199.0,17117,0.01
142,prioritized,142,800.0,17333,0.01
143,prioritized,143,249.0,17363,0.01
144,prioritized,144,215.0,17407,0.01
145,prioritized,145,1315.0,17708,0.01
146,prioritized,146,1043.0,17854,0.01
147,prioritized,147,249.0,17884,0.01
148,prioritized,148,610.0,17954,0.01
149,prioritized,149,638.0,18102,0.01
150,prioritized,150,1318.0,18363,0.01
151,prioritized,151,610.0,18427,0.01
152,prioritized,152,1309.0,18650,0.01
153,prioritized,153,1041.0,18814,0.01
154,prioritized,154,617.0,18898,0.01
155,prioritized,155,250.0,18925,0.01
156,prioritized,156,609.0,19038,0.01
157,prioritized,157,640.0,19177,0.01
158,prioritized,158,231.0,19214,0.01
159,prioritized,159,232.0,19247,0.01
160,prioritized,160,249.0,19274,0.01
161,prioritized,161,600.0,19407,0.01
162,prioritized,162,634.0,19496,0.01
163,prioritized,163,622.0,19568,0.01
164,prioritized,164,1318.0,19747,0.01
165,prioritized,165,617.0,19832,0.01
166,prioritized,166,614.0,19952,0.01
167,prioritized,167,232.0,19988,0.01
168,prioritized,168,252.0,20015,0.01
169,prioritized,169,613.0,20104,0.01
170,prioritized,170,252.0,20131,0.01
171,prioritized,171,610.0,20196,0.01
172,prioritized,172,602.0,20333,0.01
173,prioritized,173,1058.0,20515,0.01
174,prioritized,174,801.0,20645,0.01
175,prioritized,175,633.0,20739,0.01
176,prioritized,176,637.0,20814,0.01
177,prioritized,177,609.0,20962,0.01
178,prioritized,178,603.0,21110,0.01
179,prioritized,179,247.0,21137,0.01
180,prioritized,180,754.0,21267,0.01
181,prioritized,181,244.0,21296,0.01
182,prioritized,182,251.0,21323,0.01
183,prioritized,183,248.0,21350,0.01
184,prioritized,184,615.0,21424,0.01
185,prioritized,185,252.0,21451,0.01
186,prioritized,186,640.0,21525,0.01
187,prioritized,187,252.0,21552,0.01
188,prioritized,188,246.0,21579,0.01
189,prioritized,189,630.0,21663,0.01
190,prioritized,190,235.0,21697,0.01
